time_ms csd_trace16
-8.300000000000000000e+01 1.025642089843749716e+00
-8.249949949949950678e+01 1.071052246093749716e+00
-8.199899899899899935e+01 8.696362304687497158e-01
-8.149849849849849193e+01 1.067878417968749716e+00
-8.099799799799799871e+01 7.324291992187497158e-01
-8.049749749749750549e+01 9.223706054687497158e-01
-7.999699699699699806e+01 4.716870117187497158e-01
-7.949649649649649064e+01 4.240795898437497158e-01
-7.899599599599599742e+01 6.259838867187497158e-01
-7.849549549549550420e+01 3.298413085937497158e-01
-7.799499499499499677e+01 1.129157714843749716e+00
-7.749449449449448935e+01 5.073315429687497158e-01
-7.699399399399399613e+01 8.945385742187497158e-01
-7.649349349349350291e+01 4.489819335937497158e-01
-7.599299299299299548e+01 1.061774902343749716e+00
-7.549249249249248805e+01 1.321296386718749716e+00
-7.499199199199199484e+01 1.067878417968749716e+00
-7.449149149149148741e+01 8.037182617187497158e-01
-7.399099099099099419e+01 1.249274902343749716e+00
-7.349049049049048676e+01 1.837897949218749716e+00
-7.298998998998999355e+01 1.463874511718749716e+00
-7.248948948948948612e+01 6.106030273437497158e-01
-7.198898898898899290e+01 4.201733398437497158e-01
-7.148848848848848547e+01 5.000073242187497158e-01
-7.098798798798799226e+01 5.054443359374971578e-02
-7.048748748748748483e+01 -4.930908203125028422e-02
-6.998698698698697740e+01 3.991772460937497158e-01
-6.948648648648648418e+01 5.908935546874971578e-02
-6.898598598598599096e+01 -8.884204101562502842e-01
-6.848548548548548354e+01 -6.184008789062502842e-01
-6.798498498498497611e+01 -1.415283203125028422e-02
-6.748448448448448289e+01 -3.918383789062502842e-01
-6.698398398398398967e+01 -1.977465820312502842e-01
-6.648348348348348225e+01 -3.447192382812502842e-01
-6.598298298298297482e+01 -3.413012695312502842e-01
-6.548248248248248160e+01 -3.203051757812502842e-01
-6.498198198198198838e+01 3.335034179687497158e-01
-6.448148148148148096e+01 5.371826171874971578e-02
-6.398098098098098063e+01 -1.283439941406250284e+00
-6.348048048048048031e+01 -9.804614257812502842e-01
-6.297997997997997999e+01 -4.738696289062502842e-01
-6.247947947947947966e+01 3.532788085937497158e-01
-6.197897897897897224e+01 -6.677172851562502842e-01
-6.147847847847847902e+01 -5.580981445312502842e-01
-6.097797797797797870e+01 -8.893969726562502842e-01
-6.047747747747747837e+01 -1.023918457031250284e+00
-5.997697697697697095e+01 -8.344653320312502842e-01
-5.947647647647647773e+01 -9.870532226562502842e-01
-5.897597597597597741e+01 -1.229729003906250284e+00
-5.847547547547547708e+01 -1.331047363281250284e+00
-5.797497497497496965e+01 -9.277270507812502842e-01
-5.747447447447447644e+01 -6.813891601562502842e-01
-5.697397397397396901e+01 1.875073242187497158e-01
-5.647347347347347579e+01 -1.306079101562502842e-01
-5.597297297297296836e+01 -8.549731445312502842e-01
-5.547247247247247515e+01 -6.159594726562502842e-01
-5.497197197197196772e+01 -7.416918945312502842e-01
-5.447147147147147450e+01 -9.125903320312502842e-01
-5.397097097097096707e+01 -6.037524414062502842e-01
-5.347047047047047386e+01 -5.383227539062502842e-01
-5.296996996996996643e+01 -5.480883789062502842e-01
-5.246946946946947321e+01 -4.320556640625028422e-02
-5.196896896896896578e+01 2.165600585937497158e-01
-5.146846846846847257e+01 -1.623461914062502842e-01
-5.096796796796796514e+01 -4.487231445312502842e-01
-5.046746746746746481e+01 -9.973071289062502842e-01
-4.996696696696697160e+01 -8.957446289062502842e-01
-4.946646646646646417e+01 -3.343994140625028422e-02
-4.896596596596596385e+01 1.535717773437497158e-01
-4.846546546546546352e+01 -1.373283691406250284e+00
-4.796496496496496320e+01 -2.388420410156250284e+00
-4.746446446446446998e+01 -2.477531738281250284e+00
-4.696396396396396256e+01 -1.517082519531250284e+00
-4.646346346346346223e+01 -2.126945800781250284e+00
-4.596296296296296191e+01 -2.214592285156250284e+00
-4.546246246246246159e+01 -1.179680175781250284e+00
-4.496196196196196126e+01 -3.286059570312502842e-01
-4.446146146146146094e+01 3.467529296874971578e-02
-4.396096096096096062e+01 -9.423095703125028422e-02
-4.346046046046046030e+01 -4.721606445312502842e-01
-4.295995995995995997e+01 -4.067309570312502842e-01
-4.245945945945945965e+01 -4.235766601562502842e-01
-4.195895895895895933e+01 -1.055900878906250284e+00
-4.145845845845845901e+01 -5.981372070312502842e-01
-4.095795795795795158e+01 5.007397460937497158e-01
-4.045745745745745836e+01 3.413159179687497158e-01
-3.995695695695695804e+01 5.354077148437497158e-01
-3.945645645645645772e+01 1.074226074218749716e+00
-3.895595595595595739e+01 1.228100585937497158e-01
-3.845545545545544996e+01 5.822827148437497158e-01
-3.795495495495495675e+01 9.719311523437497158e-01
-3.745445445445445642e+01 1.306892089843749716e+00
-3.695395395395394900e+01 1.538581542968749716e+00
-3.645345345345345578e+01 1.868415527343749716e+00
-3.595295295295294835e+01 1.849616699218749716e+00
-3.545245245245245513e+01 8.964916992187497158e-01
-3.495195195195195481e+01 7.158276367187497158e-01
-3.445145145145144738e+01 1.108161621093749716e+00
-3.395095095095095417e+01 1.289802246093749716e+00
-3.345045045045044674e+01 1.816901855468749716e+00
-3.294994994994994642e+01 1.726813964843749716e+00
-3.244944944944945320e+01 2.267341308593749716e+00
-3.194894894894894577e+01 2.036872558593749716e+00
-3.144844844844845255e+01 1.487312011718749716e+00
-3.094794794794794512e+01 1.711188964843749716e+00
-3.044744744744744480e+01 1.039313964843749716e+00
-2.994694694694695158e+01 7.946850585937497158e-01
-2.944644644644644416e+01 7.937084960937497158e-01
-2.894594594594594383e+01 1.892341308593749716e+00
-2.844544544544544351e+01 2.277595214843749716e+00
-2.794494494494494319e+01 7.102124023437497158e-01
-2.744444444444444997e+01 2.761303710937497158e-01
-2.694394394394394254e+01 1.537849121093749716e+00
-2.644344344344344222e+01 1.757331542968749716e+00
-2.594294294294294190e+01 1.799079589843749716e+00
-2.544244244244244157e+01 8.337475585937497158e-01
-2.494194194194194125e+01 1.870124511718749716e+00
-2.444144144144144093e+01 2.358161621093749716e+00
-2.394094094094094061e+01 1.947517089843749716e+00
-2.344044044044044028e+01 2.002937011718749716e+00
-2.293993993993993996e+01 2.677253417968749716e+00
-2.243943943943943964e+01 2.758063964843749716e+00
-2.193893893893893932e+01 2.850593261718749716e+00
-2.143843843843843899e+01 2.828376464843749716e+00
-2.093793793793793157e+01 2.684577636718749716e+00
-2.043743743743743124e+01 2.346687011718749716e+00
-1.993693693693694513e+01 2.248298339843749716e+00
-1.943643643643643770e+01 2.947761230468749716e+00
-1.893593593593593027e+01 3.011237792968749716e+00
-1.843543543543543706e+01 2.697272949218749716e+00
-1.793493493493492963e+01 2.969245605468749716e+00
-1.743443443443443641e+01 3.635749511718749716e+00
-1.693393393393394319e+01 3.941169433593749716e+00
-1.643343343343343577e+01 3.651618652343749716e+00
-1.593293293293292834e+01 2.842048339843749716e+00
-1.543243243243243512e+01 2.329353027343749716e+00
-1.493193193193192769e+01 2.630378417968749716e+00
-1.443143143143143448e+01 2.815681152343749716e+00
-1.393093093093092705e+01 2.311530761718749716e+00
-1.343043043043043383e+01 1.734382324218749716e+00
-1.292992992992992640e+01 1.850837402343749716e+00
-1.242942942942941897e+01 2.791022949218749716e+00
-1.192892892892893997e+01 2.560798339843749716e+00
-1.142842842842843254e+01 2.478767089843749716e+00
-1.092792792792792511e+01 2.567878417968749716e+00
-1.042742742742743189e+01 2.860358886718749716e+00
-9.926926926926924466e+00 2.259772949218749716e+00
-9.426426426426431249e+00 2.201911621093749716e+00
-8.925925925925923821e+00 2.072272949218749716e+00
-8.425425425425430603e+00 2.464118652343749716e+00
-7.924924924924923175e+00 2.412360839843749716e+00
-7.424424424424415747e+00 2.657966308593749716e+00
-6.923923923923922530e+00 2.727790527343749716e+00
-6.423423423423429313e+00 2.351325683593749716e+00
-5.922922922922921884e+00 2.493659667968749716e+00
-5.422422422422428667e+00 2.904060058593749716e+00
-4.921921921921921239e+00 3.550544433593749716e+00
-4.421421421421413811e+00 3.212409667968749716e+00
-3.920920920920920594e+00 2.929694824218749716e+00
-3.420420420420427376e+00 3.834235839843749716e+00
-2.919919919919919948e+00 3.938239746093749716e+00
-2.419419419419412520e+00 4.238532714843749716e+00
-1.918918918918919303e+00 4.591804199218749716e+00
-1.418418418418426086e+00 4.864997558593749716e+00
-9.179179179179186576e-01 4.754157714843749716e+00
-4.174174174174254404e-01 4.649421386718749716e+00
8.308308308308198775e-02 4.340339355468749716e+00
5.835835835835894159e-01 4.033698730468749716e+00
1.084084084084096844e+00 4.149665527343749716e+00
1.584584584584575850e+00 4.100104980468749716e+00
2.085085085085083278e+00 4.599616699218749716e+00
2.585585585585590707e+00 3.989753417968749716e+00
3.086086086086083924e+00 3.863532714843749716e+00
3.586586586586591352e+00 4.188728027343749716e+00
4.087087087087084569e+00 5.079353027343749716e+00
4.587587587587577787e+00 4.867438964843749716e+00
5.088088088088085215e+00 4.421394042968749716e+00
5.588588588588592643e+00 4.860358886718749716e+00
6.089089089089100071e+00 5.139411621093749716e+00
6.589589589589579077e+00 4.499030761718749716e+00
7.090090090090086505e+00 3.830085449218749716e+00
7.590590590590593933e+00 4.057380371093749716e+00
8.091091091091087151e+00 3.801276855468749716e+00
8.591591591591594579e+00 3.856696777343749716e+00
9.092092092092102007e+00 4.392097167968749716e+00
9.592592592592581013e+00 5.356208496093749716e+00
1.009309309309308844e+01 5.055915527343749716e+00
1.059359359359359587e+01 4.781989746093749716e+00
1.109409409409410330e+01 5.445563964843749716e+00
1.159459459459459651e+01 4.765632324218749716e+00
1.209509509509508973e+01 4.766853027343749716e+00
1.259559559559559716e+01 4.671638183593749716e+00
1.309609609609609038e+01 4.952399902343749716e+00
1.359659659659659781e+01 5.490485839843749716e+00
1.409709709709710523e+01 6.954108886718749716e+00
1.459759759759758424e+01 8.422614746093749716e+00
1.509809809809809167e+01 9.658210449218749716e+00
1.559859859859859910e+01 1.158911865234374972e+01
1.609909909909910652e+01 1.486084716796874972e+01
1.659959959959959974e+01 1.982666748046874972e+01
1.710010010010010717e+01 2.289405029296874972e+01
1.760060060060060039e+01 2.534497802734374972e+01
1.810110110110109360e+01 2.705152099609374972e+01
1.860160160160160103e+01 2.858423583984374972e+01
1.910210210210210846e+01 3.056958740234374972e+01
1.960260260260260168e+01 3.069629638671874972e+01
